Rowno,Word,Count,Row
1,विपणन,41,"1,3,4,5,6,7,10,12,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55"
4,कसाव,16,"1,5,7,12,16,19,20,23,30,38,41,42,43,44,52,55"
5,माफिक,7,"1,12,16,23,24,28,52"
6,उन्मुक्त,26,"1,3,4,5,7,10,14,15,19,23,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54"
7,दर्जों,3,"1,19,23"
8,महाभिनिष्क्रम,1,1
9,लतरों,14,"1,6,7,10,19,23,25,27,30,37,39,39,42,49"
10,दूब,2,"1,23"
11,गिलट,9,"1,19,23,26,30,37,39,43,49"
12,तुनक,12,"1,4,5,6,10,23,24,28,30,44,51,52"
13,अंधड़,12,"1,7,17,19,21,30,33,34,36,37,44,52"
14,सिटकनी,21,"1,4,5,12,15,17,18,19,20,23,25,28,31,32,37,39,40,42,49,51,54"
15,ब्यौंड़े,10,"1,10,14,17,19,23,26,37,49,52"
16,बारजे,5,"1,17,19,23,43"
17,टिकोरे,10,"1,17,19,23,33,37,39,40,44,49"
18,पसोपेश,21,"1,3,5,12,15,17,18,21,23,24,26,28,28,30,32,33,42,44,49,52,53"
19,ऐंठनें,5,"1,12,23,34,39"
20,सत्ताच्युत,23,"1,3,4,5,7,10,13,15,18,19,22,23,28,30,32,33,37,42,43,44,49,52,55"
21,बिसाती,19,"1,3,15,17,18,21,22,23,26,27,28,30,32,33,38,40,42,49,52"
22,दुष्कर,17,"2,3,5,12,15,22,26,28,31,34,35,41,43,44,50,51,55"
23,विकल्प,7,"2,3,12,16,28,31,51"
24,प्रशिक्षार्थियों,28,"2,3,6,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,55"
25,संयोजन,8,"2,19,20,23,26,38,43,52"
26,वर्चस्व,14,"2,7,12,12,19,20,21,23,25,30,37,38,42,52"
29,कौड़ियों,7,"2,15,22,25,49,53,54"
30,अनियमितता,16,"2,13,13,13,14,19,23,24,27,30,35,37,40,42,46,49"
31,गठन,6,"2,6,17,41,54,55"
32,स्वच्छन्द,21,"2,3,15,20,21,22,23,26,30,32,33,37,38,42,44,46,49,51,52,53,55"
33,विक्रय,29,"3,5,7,9,12,13,14,15,18,20,21,22,23,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55"
34,उपभोक्ता,7,"3,7,23,26,28,41,54"
35,संगठन,9,"3,6,15,22,23,27,33,46,48"
36,अद्वितीय,29,"3,6,13,14,15,20,21,22,23,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,50,51,53,54"
37,चायखाने,5,"3,28,31,32,33"
38,दार्शनिक,29,"3,5,6,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,23,26,33,43,44,49"
39,मछुआरों,2,"3,20"
40,बाधाहीन,13,"3,12,13,19,21,22,28,34,36,37,39,43,44"
41,महाभिनिष्क्रमण,35,"3,4,5,7,9,10,13,17,19,20,21,22,23,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55"
42,सुकुमार,13,"3,10,12,12,13,18,19,23,23,28,42,43,51"
43,जकड़,2,"3,23"
44,भभूत,22,"3,4,12,14,17,19,21,22,23,24,25,28,31,32,33,40,41,42,43,44,51,53"
45,वल्लरियों,28,"3,4,5,7,12,14,15,17,19,20,21,22,23,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55"
46,मुग्ध,9,"3,19,23,24,28,41,43,44,49"
47,मूसलाधार,6,"3,16,23,24,35,38"
48,घेर-घुमे,1,3
50,नाममात्र,10,"3,12,14,20,22,23,24,35,38,53"
52,आकलन,18,"4,12,14,19,20,23,24,26,28,34,37,38,41,42,43,43,45,52"
53,समानान्तर,17,"4,5,13,15,19,22,23,24,26,28,30,33,35,44,49,53,54"
55,अभिन्न,6,"4,23,24,37,43,44"
56,बिलखने,23,"4,7,13,17,19,20,21,22,23,26,30,33,37,38,39,40,41,42,43,44,46,49,54"
57,सहसा,4,"4,19,23,37"
58,अंधड़,2,"4,28"
59,एहतियात,11,"4,5,12,19,21,23,36,37,39,43,55"
60,तरतीबी,23,"4,5,10,14,16,17,21,22,23,24,28,30,34,37,38,40,42,43,44,46,49,51,52"
61,चितेरे,9,"4,12,15,17,23,34,43,49,55"
62,वैकल्पिक,23,"5,6,12,13,14,15,17,18,21,22,23,26,27,28,32,35,37,40,48,49,52,54,55"
63,हहराता,19,"5,10,12,14,15,19,20,22,23,27,28,30,32,33,36,37,38,44,49"
64,संचालित,6,"5,12,17,31,43,51"
65,बंधुआ,19,"5,13,14,17,20,23,26,27,28,32,33,36,37,37,38,39,42,44,55"
66,खूँखार,10,"5,12,15,16,43,46,49,50,55,55"
67,विचरण,8,"5,15,19,22,23,27,32,42"
68,छिटक,7,"5,17,23,28,40,46,51"
69,काकली,11,"5,14,17,19,23,28,32,37,39,40,43"
70,दूभर,8,"5,7,15,21,23,30,32,40"
71,फुहारें,8,"5,17,23,37,39,40,43,51"
72,उत्पादन,7,"6,15,22,23,24,28,46"
73,ठेकेदार,3,"6,12,51"
74,इक्नॉमिक्स,3,"6,20,35"
75,की,36,"6,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23"
76,छाँह,3,"6,23,23"
77,विज्ञापन,7,"7,12,15,23,33,46,50"
78,अनुपम,7,"7,12,12,15,22,27,28"
80,पूंजी,7,"7,16,22,31,43,44,48"
81,हृदय,1,7
82,किलोल,16,"7,17,19,23,25,30,33,34,37,38,39,40,44,49,52,54"
83,व्यस्तताएँ,10,"7,13,15,20,23,35,37,38,46,54"
84,गतिविधियों,5,"7,23,35,38,46"
85,दल,4,"7,23,23,23"
86,ऋतु,4,"7,19,23,37"
89,तरकारी,7,"9,17,23,30,37,41,49"
91,नितान्त,8,"10,15,19,22,23,42,43,49"
93,अभियान,4,"12,23,24,42"
94,प्रचार-प्रसार,7,"12,14,20,23,25,38,44"
95,भरूच,1,12
96,अंकलेश्वर,4,"12,23,26,35"
97,फैक्टरियाँ,4,"12,55,55,55"
98,हजीरा,1,12
99,पवन,1,12
100,कुएँ,1,12
101,केन्द्रीय,3,"12,23,32"
102,उपलब्धि,3,"12,33,46"
104,फौजदारी,13,"12,13,14,19,23,27,30,34,36,40,42,43,52"
105,बँधे-बँधाये,4,"12,14,50,50"
106,खुलाव,6,"12,13,23,28,33,37"
107,झाँका,3,"12,23,44"
109,मँडराते,3,"12,23,26"
110,इर्द-गिर्द,2,"12,23"
111,जग्गन,11,"12,21,22,23,23,23,24,25,27,28,43"
112,विश्वासपात्र,10,"12,19,20,22,23,24,37,43,44,46"
113,अनुशासनात्मक,14,"12,21,23,23,24,27,35,38,40,43,49,51,53,55"
114,स्मृतियाँ,3,"12,19,35"
116,चुटकी,1,13
117,आश्रम,2,"13,23"
118,यात्रा,3,"13,23,53"
119,पत्थरों,2,"13,23"
120,जिन्दगी,4,"13,23,23,53"
121,अद्भुत,4,"13,19,23,43"
122,सार्वजनिक,3,"13,23,54"
123,मुरझाए,5,"13,16,23,44,53"
124,हु,1,13
126,वार्ता,2,"14,23"
127,बेधड़क,5,"14,23,35,38,54"
128,कंठ,4,"14,23,28,41"
129,जलाश्य,12,"14,17,19,23,24,26,35,37,43,49,51,55"
130,ढेले,3,"14,23,23"
131,कार्यवाही,3,"14,23,23"
132,प्रकृति,2,"14,23"
133,उत्पाद,7,"15,22,23,28,41,43,55"
134,अनुभूति,13,"15,17,18,19,22,23,26,42,44,48,50,52,54"
135,घसीटना,1,15
136,उपन्यासों,6,"15,17,19,23,36,48"
137,भौंचक्का,15,"15,27,28,33,43,50,53,55,12,14,16,23,44,1,35"
138,सर्वोत्कृष्ट,10,"15,21,23,24,33,40,43,51,52,53"
139,पद्मिनी,11,"15,19,20,21,23,23,28,31,35,36,41"
140,सिलसिला,3,"15,20,23"
141,छनकर,2,"15,27"
142,विघटन,11,"15,17,19,23,30,34,42,43,44,52"
143,बांधकर,3,"16,37,40"
144,मछुआरे,4,"16,23,35,51"
145,गेसू,8,"16,23,23,28,30,43,49,52"
146,व्याकुल,10,"16,23,23,25,25,41,42,44,46,54"
147,ताक,2,"16,23"
148,नौबत,2,"16,23"
149,कुंभलगढ़,5,"16,23,24,26,28"
150,सन्नाटा,4,"16,23,24,37"
151,मदनजी,2,"16,23"
152,सून,3,"17,28,40"
153,द्वीप,1,17
154,भड़,4,"17,17,23,23"
155,गिर्द,1,17
156,विकल,4,"17,23,33,52"
157,किवाड़,13,"17,18,19,23,26,28,33,42,43,44,49,51,55"
158,दर्शन,2,"18,37"
160,घुमेर,2,"18,54"
162,मालिन,4,"19,23,39,49"
163,रस्सियाँ,4,"19,23,35,55"
164,ऐंठनों,11,"19,23,23,26,32,33,37,40,42,49,52"
165,सुस्ता,2,"19,23"
166,तेन्दुए,4,"19,44,3,23"
167,प्रतिध्वनित,8,"19,30,34,49,51,21,23,40"
168,अनुयायी,6,"19,23,30,34,43,54"
171,प्रथा,3,"20,38,43"
172,कल्पनाएँ,2,"20,23"
173,इंजीनियरिंग,1,20
174,इठलाने,8,"20,23,25,26,30,38,44,55"
175,राजकुमार,5,"20,23,23,23,23"
176,सौन्दर्य,4,"20,23,23,53"
177,बाल-स्मृतियाँ,5,"20,21,23,37,46"
178,सब,1,21
179,भुगतान,3,"21,25,44"
180,पुरखिन,1,21
182,ब्यौंड़े,1,22
183,तालमेल,2,"23,28"
184,राजकोट,1,23
185,अरब,1,23
186,महासागर,1,23
187,व्यवस्था,2,"23,50"
188,मानवता,1,23
189,स्थापित,1,23
190,कलकत्ता,3,"23,24,26"
191,मातृत्व,3,"23,40,53"
192,किस्मत,1,23
194,उसको,1,23
195,कॉलेज,1,23
196,भी,7,"23,23,23,23,23,23,23"
197,ऐसा,1,23
198,मिला,2,"23,23"
199,जिसमें,1,23
200,खिड़कियों,1,23
201,आम,3,"23,23,23"
202,शाखें,1,23
203,करती,4,"23,23,23,23"
204,थीं,5,"23,23,23,23,23"
205,इसलिए,1,23
206,हमेशा,1,23
207,जब,3,"23,23,23"
208,कभी,5,"23,23,23,23,23"
209,मौका,2,"23,23"
210,मिलता,1,23
211,था,6,"23,23,23,23,23,23"
212,क्लास,2,"23,23"
213,भाग,1,23
214,कर,16,"23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23"
215,घास,1,23
216,पर,6,"23,23,23,23,23,50"
217,लेटकर,1,23
218,सपने,1,23
219,देखने,1,23
220,आदी,1,23
221,हो,9,"23,23,23,23,23,23,23,23,23"
222,गयी,1,23
223,थी,10,"23,23,23,23,23,23,23,23,23,23"
224,के,22,"23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,28"
225,इस,6,"23,23,23,23,23,23"
226,और,27,"23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,28,46"
227,उसके,5,"23,23,23,23,23"
228,बाद,2,"23,23"
229,में,31,"23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23"
230,जाकर,1,23
231,ध्यान-योग,1,23
232,साधना,1,23
233,उसकी,2,"23,23"
234,एकमात्र,1,23
235,साथिन,1,23
237,सुधा,1,23
238,घनी,1,23
239,हरी,1,23
240,दोनों,5,"23,23,23,23,23"
241,सिर,1,23
242,नीचे,2,"23,23"
243,हाथ,2,"23,23"
244,रखकर,1,23
245,लेटी,1,23
246,रहतीं,1,23
247,दुनिया-भर,1,23
248,बातें,4,"23,23,23,23"
249,करतीं,1,23
250,बातों,1,23
251,छोटी,2,"23,23"
252,बड़ी,3,"23,23,23"
253,किस,2,"23,23"
254,तरह,5,"23,23,23,23,23"
255,यह,12,"23,23,23,23,23,23,23,23,23,23,23,23"
256,वही,2,"23,23"
257,समझ,2,"23,23"
258,सकता,2,"23,23"
260,जिसने,1,23
261,दो,2,"23,23"
262,सहेलियों,2,"23,28"
263,एकान्त,2,"23,53"
264,सुनी,1,23
265,हो,1,23
266,गालिब,1,23
267,शायरी,1,23
268,लेकर,3,"23,23,23"
269,उनके,3,"23,23,23"
270,छोटे,1,23
271,भाई,1,23
272,हसरत,1,23
273,ने,9,"23,23,23,23,23,23,23,23,23"
274,एक,6,"23,23,23,23,23,23"
275,कुत्ते,1,23
276,का,12,"23,23,23,23,23,23,23,23,23,23,23,23"
277,पिल्ला,1,23
278,पाला,1,23
279,सुनाया,1,23
280,शरत,1,23
281,कि,4,"23,23,23,23"
282,कड़ा,1,23
283,बनवाया,1,23
284,सुधा,1,23
285,बताया,1,23
286,अपने-अपने,1,23
287,मन,4,"23,23,23,23"
288,एक-दूसरे,2,"23,23"
289,को,9,"23,23,23,23,23,23,23,23,23"
290,बता,1,23
291,डालती,2,"23,23"
292,जितना,1,23
293,भावुक,2,"23,23"
294,प्यारा,1,23
295,अनजान,1,23
296,उतनी,1,23
297,ही,5,"23,23,23,23,23"
298,कहा,1,23
299,इतने,1,23
300,दिनों,1,23
301,हम,1,23
302,जंगलों,1,23
303,मैदानों,1,23
304,घूम,1,23
305,रहे,4,"23,23,23,23"
307,जैसे-तैसे,1,23
308,तो,10,"23,23,23,23,23,23,23,23,23,23"
309,नगर,1,23
310,आया,1,23
311,तुम,1,23
312,कहते,1,23
313,इससे,1,23
314,बच,1,23
315,निकल,1,23
317,नहीं,10,"23,23,23,23,23,23,23,23,23,23"
319,इच्छा,1,23
320,आगे,4,"23,23,23,23"
321,वजीर,2,"23,32"
322,लड़का,1,23
323,झुक,1,23
324,गया,1,23
325,नगरी,1,23
326,प्रवेश,1,23
328,रह,2,"23,23"
330,माजरा,2,"23,51"
331,क्या,2,"23,23"
333,उसने,2,"23,23"
334,बुढ़िया,4,"23,23,23,25"
335,बाँहों,2,"23,26"
336,अपने,6,"23,23,23,23,23,50"
337,छुड़ाने,1,23
338,कोशिश,1,23
339,उसे,3,"23,23,23"
340,इतना,1,23
341,रखा,1,23
342,वह,5,"23,23,23,23,23"
343,छुड़ा,1,23
345,फिर,2,"23,23"
347,बाबा,1,23
348,कई,1,23
349,दिन,2,"23,23"
350,उनकी,2,"23,23"
351,राह,1,23
352,देख,1,23
354,इतनी,1,23
355,देर,2,"23,23"
356,कैसे,2,"23,23"
357,गई,1,23
358,सोच,1,23
359,उनका,2,"23,23"
360,उठता,1,23
362,उन्होंने,2,"23,23"
363,ममता,1,23
364,स्वागत,1,23
365,किया,2,"23,23"
366,कक्ष,3,"23,23,23"
367,उन्हें,2,"23,23"
369,उस,2,"23,23"
370,कोई,3,"23,23,23"
371,दीवार,1,23
372,हरी-भरी,1,23
373,लिपट,1,23
374,निर्माण,2,"23,37"
375,सुरीला,2,"23,46"
376,गीत,1,23
377,समाप्त,1,23
378,हुआ,1,23
379,देखा,1,23
380,भाव,2,"23,43"
381,रही,4,"23,23,23,23"
383,हँसने,1,23
384,लगा,1,23
385,जाने,1,23
386,लोक,1,23
387,बड़े,1,23
388,आनंद,1,23
389,बढ़ती,1,23
391,सूर्य,1,23
392,पैर,1,23
393,साथ,2,"23,23"
394,चलते,2,"23,23"
396,रास्ते,1,23
397,जिसके,1,23
398,निर्मल,1,23
399,जल,1,23
400,पक्षी,1,23
401,शाम,2,"23,23"
402,मौसम,1,23
403,दिया,2,"23,23"
404,वरना,1,23
406,थोड़ी,1,23
407,पहले,2,"23,23"
408,धूप,1,23
409,खाना,1,23
410,खाया,1,23
411,खा,1,23
412,अभी,1,23
413,कमरे,1,23
414,लेटे,1,23
415,थे,1,23
417,घर,2,"23,23"
418,सारे,1,23
419,खुले,1,23
420,खिड़की,1,23
421,दरवाजे,2,"23,23"
422,करते,1,23
423,हुए,3,"23,23,23"
424,आप,1,23
425,बंद,2,"23,23"
426,होने,2,"23,23"
427,लगे,1,23
428,खुलने,1,23
430,कहीं,3,"23,23,23"
431,गिरी,2,"23,23"
432,गिरे,1,23
433,जैसे,2,"23,23"
434,धरती,1,23
435,हिल,1,23
436,उठी,1,23
437,दीवारें,2,"23,50"
438,काँपने,1,23
439,लगी,2,"23,23"
441,आँगन,1,23
442,लान,1,23
443,बड़े,2,"23,23"
444,ओलों,2,"23,37"
445,बर्फ,1,23
446,पट,1,23
447,गए,2,"23,23"
448,रेलिंग,2,"23,53"
449,टूट,1,23
450,दूर,1,23
451,जा,2,"23,23"
453,धड़ाम,1,23
454,जो,1,23
455,बारिश,1,23
456,शुरू,1,23
457,हुई,1,23
458,पानी,2,"23,23"
459,बूँदें,1,23
460,हों,1,23
461,जिन्हें,1,23
462,पकड़,1,23
463,चाहे,1,23
464,वहाँ,1,23
465,तक,6,"23,23,23,23,23,23"
466,चला,1,23
467,जाए,2,"23,23"
468,जहाँ,1,23
469,ये,3,"23,23,23"
470,छोड़ी,1,23
471,या,1,23
472,गिराई,2,"23,26"
473,घराने,3,"23,23,23"
474,सबके,2,"23,23"
475,दरवाजों,1,23
476,नीम,1,23
477,पेड़,2,"23,23"
479,अकेले,1,23
480,जिनके,1,23
481,सामने,1,23
482,लगने,1,23
483,पकने,1,23
484,जिसकी,1,23
485,शायद,1,23
486,आती,1,23
487,लड़के,1,23
488,बच्चे,1,23
489,छिपाए,1,23
490,रहते,3,"23,23,23"
491,तब,1,23
492,खटिया,1,23
493,डाले,1,23
494,पड़े,1,23
495,गर्मी,1,23
496,बर्दाश्त,1,23
497,लायक,1,23
498,रहती,1,23
500,भर,1,23
501,चटनी-अचार,2,"23,50"
502,काम,2,"23,23"
503,लाख,1,23
504,बावजूद,1,23
505,उसी,2,"23,23"
506,चलता,1,23
507,इधर,1,23
508,उधर,1,23
509,पकड़ने,1,23
510,घात,1,23
511,पकड़ते,1,23
512,तीन,1,23
513,पा,1,23
514,जाते,1,23
515,बच्चों,1,23
516,डेढ़,1,23
517,महीने,1,23
518,चल,1,23
519,जाती,1,23
520,चुप,1,23
522,मैं,2,"23,23"
523,अकसर,1,23
524,झूले,3,"23,23,23"
525,रस्सियों,4,"23,28,35,55"
526,गोल-गोल,2,"23,23"
527,घुमा,1,23
528,छोड़,1,23
530,खुलतीं,1,23
531,बँधतीं,3,"23,25,50"
532,खत्म,1,23
534,घूमेती,1,23
536,घेर-घुमेर,2,"23,36"
537,वाले,1,23
538,सचमुच,1,23
539,किसी,4,"23,23,23,23"
540,रोक,1,23
541,जंगल,3,"23,23,23"
542,ठीक,1,23
543,रहस्यमय,1,23
544,यहाँ,2,"23,23"
545,सुबहों,1,23
546,शामों,1,23
547,घनेरा,2,"23,37"
548,अन्तर,1,23
549,सुबह,1,23
550,पंछियों,1,23
551,गूँजता,1,23
552,दोपहर,1,23
553,यही,1,23
554,लगता,1,23
555,लौटने,1,23
556,विविध,3,"23,38,50"
557,रात,2,"23,23"
558,देने,2,"23,23"
559,वाली,3,"23,23,23"
560,उदास,1,23
561,शान्ति,2,"23,23"
563,जैसी,1,23
564,मैंने,1,23
565,देखी,1,23
566,कुशल,1,23
567,कल्पना,1,23
568,समा,1,23
570,समय,3,"23,23,23"
571,पूरी,1,23
572,बिछने,1,23
573,चारपाइयों,4,"23,28,36,46"
574,कतारें,1,23
575,गायब,1,23
576,रोज,1,23
577,जिस,1,23
578,गली,3,"23,23,23"
579,आधी,1,23
580,बिना,1,23
581,टकराए,1,23
582,निकलना,1,23
583,आज,2,"23,23"
584,चौड़ी,1,23
585,सड़क,1,23
586,लग,1,23
587,रोशनी,3,"23,25,50"
588,घरों,1,23
589,कारण,1,23
590,उनसे,1,23
591,पड़ने,1,23
592,वाला,1,23
593,प्रकाश,2,"23,40"
594,छन-छनकर,2,"23,43"
595,पड़,1,23
596,रहा,1,23
597,अँधेरे,1,23
598,बढ़ा,1,23
599,इसका,1,23
600,खूब,1,23
601,अंदाज,1,23
602,राव,1,23
603,साहब,1,23
604,परेशान,1,23
605,करें,1,23
606,कुछ,2,"23,23"
608,अन्य,1,23
609,वरिष्ठ,2,"23,43"
610,मंत्रियों,2,"23,40"
611,वे,1,23
612,कार्यालय,2,"23,37"
613,बैठे,1,23
614,ओर,1,23
615,मदन,1,23
616,जी,1,23
617,सुझाव,3,"23,25,50"
618,सहमत,1,23
620,मतलब,1,23
622,याने,1,23
624,गांधी,1,23
625,नेहरू,1,23
626,सत्ता,1,23
627,छोड़,1,23
628,सकते,1,23
629,महिलाओं,1,23
630,जाग,1,23
631,उठती,1,23
633,मानो,2,"23,23"
634,चिंताओं,2,"23,50"
635,ह्रदय,1,23
636,धो,1,23
637,हरा,1,23
638,देती,1,23
639,दिल,1,23
640,उमंगों,3,"23,54,55"
641,भरे,1,23
642,घानी,3,"23,24,25"
643,साडियों,1,23
644,हरियाली,1,23
645,नाता,1,23
646,जोड़ा,1,23
647,इसी,1,23
648,आकर,1,23
649,पास,1,23
650,खडा,1,23
652,मुकाम,1,25
653,बिन,2,"25,28"
654,बजाय,1,25
655,किस्सा,2,"25,35"
656,लखनऊ,1,25
657,बीच,1,28
658,बैठाना,2,"28,50"
659,कार्य,1,28
661,बनावट,1,28
662,भूमिका,4,"30,42,50,51"
663,संयोज,1,31
666,मार्केटिंग,2,"35,53"
667,बुद्धि,1,35
669,ठेकेदारों,2,"37,46"
670,ग्राम-देवता,1,37
671,नगर-देवता,1,37
672,शान्त,1,37
673,स्नेह,1,37
676,एहतिया,1,40
678,चन्दर,1,43
679,बिखरी,1,44
689,देकर,1,50
690,ठहराया,2,"23,50"
691,पसोपेश,1,51
694,मान्य,1,52
695,चमकदार,1,55