word,length,syllables,consonants,vowels,consonantconjuncts,count,senses,synonyms,hypernyms,hyponyms,authors,years,source
विपणन,5,3,4,1,0,21,1,13,7,11,"na","na","wiki_automobiles,wiki_cinema,wiki_defence,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_tourism,web_news"
महाभिनिष्क्रमण,14,6,9,5,2,1,0,0,0,0,"Dharmveer Bharti","1949","story_na"
विक्रय,6,2,4,2,1,78,1,7,8,15,"Sudhakar Adeeb,Jayshankar Prasad,na","2000,1929,na","story_na,wiki_defence,wiki_history,wiki_law,wiki_money,wiki_science,web_news"
अद्वितीय,8,4,4,4,1,91,1,43,0,0,"Sudhakar Adeeb,Asgar Vajahat,Dharmveer Bharti,Tufail Chaturvedi,Kavita,na","2000,unk,1949,2012,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_culture,wiki_education,wiki_food,wiki_health,wiki_music,wiki_nature,wiki_religion,wiki_universe,web_news"
उन्मुक्त,8,2,4,4,2,19,1,15,0,0,"Kunal Singh,Sudhakar Adeeb,Jayshree Roy,Mamta Kalia,Premchand,Dharmveer Bharti,Santosh Chaube,Santosh Shrivastav,Vibhooti Narayan Roy,na","2010,2000,2012,1936,1949,2006,2003,2009,na","story_na,wiki_art,wiki_books,wiki_ngo,wiki_science,web_news"
वैकल्पिक,8,3,5,3,1,86,1,4,0,0,"Kunal Singh,Mamta Kalia,Santosh Chaube,Anwar Suhail,na","2010,2000,2006,unk,na","story_na,wiki_automobiles,wiki_education,wiki_food,wiki_health,wiki_history,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,web_news"
दार्शनिक,8,3,5,3,1,120,1,8,15,0,"Sudhakar Adeeb,Asgar Vajahat,Premchand,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,Vibhooti Narayan Roy,unk,Santosh Shrivastav,Jitendra Visaria,na","2000,unk,1936,1949,1932,2006,2009,2010,na","story_na,wiki_art,wiki_books,wiki_culture,wiki_education,wiki_food,wiki_health,wiki_history,wiki_law,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_tourism,web_news"
तरतीब,5,3,4,1,0,4,1,4,25,0,"Mamta Kalia,Vibhooti Narayan Roy,Kavita,na","2000,1998,2012,na","story_na,web_news"
अनियमितता,9,5,5,4,0,12,1,3,15,0,"na","na","wiki_religion,web_news"
समानान्तर,9,4,6,3,1,6,1,4,0,0,"Kunal Singh,Asgar Vajahat,unk,na","2010,unk,na","story_na,wiki_money,wiki_science,web_news"
वर्चस्व,7,2,5,2,2,51,2,40,35,0,"Kunal Singh,Mamta Kalia,Asgar Vajahat,Kavita,Jainandan,na","2010,2000,2009,unk,2012,na","story_na,wiki_books,wiki_defence,wiki_food,wiki_religion,wiki_sports,web_news"
सत्ताच्युत,10,3,6,4,2,1,0,0,0,0,"Yashwant Kothari","1983","story_na"
स्वच्छन्द,9,3,6,3,3,4,2,28,0,0,"Bhairav Prasad Gupt,Dharmveer Bharti","1952,1949","story_na"
पद्मिनी,7,3,4,3,1,125,6,58,126,0,"Usha Kiran Khan,Santosh Chaube,Yashpal Jain,na","2015,2006,unk,na","story_na,wiki_books,wiki_cinema,web_news"
भभूत,4,2,3,1,0,15,1,5,5,0,"Mamta Kalia,Premchand,Tufail Chaturvedi,Santosh Shrivastav,Anwar Suhail,Yashpal Jain,na","2009,1932,unk,2003,na","story_na,wiki_religion"
पसोपेश,6,3,4,2,0,6,1,21,6,0,"Kunal Singh,Asgar Vajahat,Dharmveer Bharti,Kashinath Singh,na","2010,unk,1949,2008,na","story_na,web_news"
सिटकनी,6,3,4,2,0,7,1,8,9,1,"Kunal Singh,Premchand,Vibhooti Narayan Roy,Kashinath Singh","2010,1928,2009,2008","story_na"
अनुशासनात्मक,12,6,7,5,1,36,1,1,0,0,"Yashwant Kothari,na","1983,na","story_na,wiki_health,wiki_politics,wiki_science,web_news"
हहराता,6,4,4,2,0,1,0,0,0,0,"Santosh Shrivastav","unk","story_na"
बिसाती,6,3,3,3,0,7,2,2,14,0,"Naresh Nadeem,Premchand,A. Asafal","2012,1928,unk","story_na"
आकलन,4,3,3,1,0,91,4,41,32,26,"Mamta Kalia,Anwar Suhail,Jainandan,Ravindra Kalia,Manisha Kulshreshth,Dharmveer Bharti,Vibhooti Narayan Roy,na","2000,unk,2012,1952,2010,na","story_na,wiki_art,wiki_law,wiki_money,wiki_nature,wiki_parenting,wiki_religion,wiki_universe,web_news"
प्रशिक्षार्थियों,16,6,8,8,3,2,0,0,0,0,"Mamta Kalia","2000","story_na"
भौंचक्का,8,3,4,4,1,9,1,11,0,0,"Usha Kiran Khan,Naresh Nadeem,Tufail Chaturvedi,Yashpal Jain,Vibhooti Narayan Roy,na","2015,2012,unk,2010,na","story_na,web_news"
फौजदारी,7,4,4,3,0,24,4,19,38,0,"Sudhakar Adeeb,Naresh Nadeem,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Premchand,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,Anwar Suhail,na","2000,2012,1952,unk,1983,1936,1932,2003,1926,2010,na","story_na,wiki_law,wiki_religion,web_news"
विश्वासपात्र,12,5,7,5,2,11,1,6,15,0,"Premchand,Sharatchandra Chattopadhyay,Yashwant Kothari,na","1936,1932,1926,1983,na","story_na,wiki_religion,web_news"
बंधुआ,5,2,2,3,0,19,1,4,0,0,"Suraj Prakash,Asgar Vajahat,na","2000,unk,na","story_na,wiki_cinema,web_news"
प्रतिध्वनित,11,5,7,4,2,2,1,4,0,0,"Manisha Kulshreshth,na","2012,na","story_na,wiki_music"
सुकुमार,7,3,4,3,0,10,1,1,54,0,"Asgar Vajahat,Dharmveer Bharti,Jayshankar Prasad,Premchand,unk,na","unk,1949,1929,1932,na","story_na,wiki_books"
सर्वोत्कृष्ट,12,3,7,5,3,7,1,3,9,0,"Yashpal Jain,na","unk,na","story_na,wiki_art,wiki_books,wiki_education,wiki_law,wiki_religion"
नितान्त,7,2,4,3,1,8,1,18,0,0,"Kunal Singh,Mamta Kalia,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,na","2010,2009,1917,na","story_na,wiki_festivals"
दुष्कर,6,2,4,2,1,2,1,6,0,0,"na","na","wiki_science,web_news"
कसाव,4,2,3,1,0,14,2,3,30,0,"Jayshree Roy,Vibhooti Narayan Roy,Santosh Shrivastav,na","2012,1983,unk,na","story_na,wiki_music,wiki_sports,web_news"
एहतियात,7,4,4,3,0,21,4,27,22,32,"Kunal Singh,Tufail Chaturvedi,Kashinath Singh,Santosh Shrivastav,na","2010,unk,2008,na","story_na,web_news"
अंधड़,4,2,1,2,0,1,0,0,0,0,"Santosh Shrivastav","unk","story_na"
किवाड़,6,2,3,3,0,26,1,12,6,2,"Kunal Singh,Sudhakar Adeeb,Devkinandan Khatri,Sharatchandra Chattopadhyay,Mamta Kalia,Premchand,Jayshankar Prasad,Tufail Chaturvedi,Vibhooti Narayan Roy","2010,2000,1888,1920,2009,1928,1936,1929,unk,1926,1988,1917","story_na"
उत्पादन,7,3,4,3,1,425,1,2,8,34,"Kunal Singh,Mamta Kalia,Anwar Suhail,na","2010,2000,unk,na","story_na,wiki_animals,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_religion,wiki_science,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_wedding,web_news"
व्यस्तता,8,3,5,3,2,28,1,1,15,0,"Mamta Kalia,Suraj Prakash,Vibhooti Narayan Roy,Santosh Chaube,Kavita,Ravindra Kalia,unk,Santosh Shrivastav,na","2000,1983,1998,2006,2012,2009,unk,2010,na","story_na,wiki_money,wiki_parenting,web_news"
नाममात्र,8,4,5,3,1,5,1,5,0,0,"Vibhooti Narayan Roy,Santosh Shrivastav,na,dada bhagvan","1988,unk,na,2004","story_na,wiki_money,story_bhandarkar oriental research institute,web_news"
विघटन,5,3,4,1,0,31,1,1,8,0,"Yashwant Kothari,na","1983,na","story_na,wiki_culture,wiki_education,wiki_health,wiki_money,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,web_news"
काकली,5,2,3,2,0,1,0,0,0,0,"Manisha Kulshreshth","2012","story_na"
मूसलाधार,8,4,5,3,0,14,1,2,0,0,"Tufail Chaturvedi,Vibhooti Narayan Roy,Kashinath Singh,Santosh Shrivastav,na","unk,2009,2008,1988,2010,na","story_na,story_bhandarkar oriental research institute,web_news"
व्याकुल,7,3,4,3,1,31,1,26,0,0,"Premchand,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,Jainandan,Ravindra Kalia,Manisha Kulshreshth,na","1928,1936,1949,1929,1932,unk,2003,1926,2009,2012,1917,1952,2010,na","story_na,wiki_religion,web_news"
स्मृति,6,3,3,3,1,194,5,40,83,10,"Kunal Singh,Sudhakar Adeeb,Mamta Kalia,Premchand,Vibhooti Narayan Roy,Jayshankar Prasad,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Jayshree Roy,Ravindra Kalia,Manisha Kulshreshth,Sharatchandra Chattopadhyay,unk,Jitendra Visaria,na,dada bhagvan","2010,2000,2009,1928,1983,1936,1929,1932,1998,2006,unk,2003,2012,1917,na,2004,2014","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_law,wiki_music,wiki_nature,wiki_religion,wiki_science,story_bhandarkar oriental research institute,web_news"
मातृत्व,7,2,4,3,1,33,1,1,1,0,"Premchand,Dharmveer Bharti,Santosh Shrivastav,Jainandan,Sharatchandra Chattopadhyay,na","1936,1949,2003,unk,1917,na","story_na,wiki_books,wiki_cinema,wiki_parenting,web_news"
जलाश्य,6,3,4,2,1,1,0,0,0,0,"Yashpal Jain","unk","story_na"
तुनक,4,2,3,1,0,7,3,49,0,0,"Kunal Singh,Tufail Chaturvedi,Suraj Prakash,Yashpal Jain,na","2010,unk,2005,na","story_na,web_news"
उपभोक्ता,8,4,4,4,1,82,1,10,15,0,"Mamta Kalia,Vibhooti Narayan Roy,na","2000,2010,na","story_na,wiki_animals,wiki_automobiles,wiki_cinema,wiki_festivals,wiki_money,wiki_nature,wiki_science,wiki_technology,web_news"
अनुभूति,7,4,3,4,0,83,1,6,10,2,"Sudhakar Adeeb,Jayshree Roy,Mamta Kalia,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Santosh Chaube,Premchand Sahajvala,Sharatchandra Chattopadhyay,Jainandan,Santosh Shrivastav,na,dada bhagvan","2000,2012,2009,1983,1949,1929,1998,2006,2013,1926,unk,1988,1917,na,2004,2003","story_na,wiki_art,wiki_books,wiki_cinema,wiki_culture,wiki_health,wiki_music,wiki_science,story_bhandarkar oriental research institute,web_news"
खूँखार,6,2,3,3,0,16,1,16,9,0,"Kunal Singh,Sudhakar Adeeb,Vibhooti Narayan Roy,Jayshree Roy,Jainandan,unk,Santosh Shrivastav,na","2010,2000,1983,2009,2012,unk,na","story_na,wiki_religion"
जग्गन,5,2,4,1,1,2,0,0,0,0,"Kashinath Singh","2008","story_na"
कौड़ियों,8,3,3,5,0,8,0,0,0,0,"Asgar Vajahat,na","unk,na","story_na,web_news"
विचरण,5,3,4,1,0,14,1,6,8,2,"Sudhakar Adeeb,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,na","2000,1917,2010,na,2003","story_na,wiki_animals,wiki_books,wiki_cinema,wiki_festivals,wiki_health,wiki_religion,wiki_science,wiki_universe,story_bhandarkar oriental research institute,web_news"
लतरों,5,3,3,2,0,2,0,0,0,0,"Dharmveer Bharti","1949","story_na"
संयोजन,6,3,4,2,0,69,2,7,12,0,"Mamta Kalia,Santosh Chaube,na,dada bhagvan","2000,2006,na,2008","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_universe,story_bhandarkar oriental research institute,web_news"
मुग्ध,5,1,3,2,1,48,2,12,0,0,"Naresh Nadeem,Jayshree Roy,Suraj Prakash,Premchand,Asgar Vajahat,Dharmveer Bharti,Vibhooti Narayan Roy,Yashpal Jain,Jainandan,Sharatchandra Chattopadhyay,unk,Santosh Shrivastav,na","2012,2000,1928,unk,1936,1949,1932,1998,1917,2010,na","story_na,wiki_art,wiki_books,wiki_health,wiki_history,wiki_religion"
चितेरा,6,3,3,3,0,1,1,8,7,4,"na","na","web_news"
दूभर,4,2,3,1,0,9,1,2,0,0,"Premchand,Yashpal Jain,Vibhooti Narayan Roy,Sharatchandra Chattopadhyay,na","1932,unk,1988,1917,na","story_na,wiki_health,web_news"
माफिक,5,2,3,2,0,10,1,18,0,0,"Naresh Nadeem,Devkinandan Khatri,Dharmveer Bharti,Tufail Chaturvedi,Jainandan,Ravindra Kalia,na,dada bhagvan","2012,1888,1949,unk,na,2008","story_na,wiki_universe,story_bhandarkar oriental research institute"
तरकारी,6,4,4,2,0,27,3,15,40,166,"Kunal Singh,Mamta Kalia,Premchand,Dharmveer Bharti,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,na","2010,2009,1928,1949,unk,2003,1926,1917,na","story_na,wiki_food,wiki_nature"
उत्पाद,6,2,3,3,1,168,1,4,6,18,"Mamta Kalia,Jainandan,Ravindra Kalia,unk,na","2000,unk,na","story_na,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_tourism,wiki_transport,web_news"
चायखाने,7,4,4,3,0,1,0,0,0,0,"Asgar Vajahat","unk","story_na"
अनुयायी,7,4,3,4,0,87,2,45,30,128,"Premchand,Vibhooti Narayan Roy,na,dada bhagvan","1936,1998,na,2010,2008","story_na,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_music,wiki_religion,wiki_sports,story_bhandarkar oriental research institute,web_news"
गतिविधियों,10,5,5,5,0,474,0,0,0,0,"Sudhakar Adeeb,Vibhooti Narayan Roy,Santosh Chaube,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Santosh Shrivastav,na","2000,1998,2006,2009,unk,2012,1988,2010,na","story_na,wiki_animals,wiki_art,wiki_books,wiki_cinema,wiki_defence,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,web_news"
संगठन,5,3,4,1,0,1030,3,26,88,224,"Asgar Vajahat,Premchand,Jayshankar Prasad,Santosh Chaube,Jainandan,Yashwant Kothari,na","unk,1936,1929,1932,2006,1983,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_defence,wiki_education,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,web_news"
पूंजी,5,2,2,3,0,196,1,7,25,16,"Suraj Prakash,Asgar Vajahat,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,na","2000,unk,1936,1998,na","story_na,wiki_automobiles,wiki_history,wiki_money,wiki_nature,wiki_science,wiki_technology,wiki_transport,web_news"
छिटकना,6,3,4,2,0,1,3,21,0,0,"dada bhagvan","2004","story_bhandarkar oriental research institute"
गेसू,4,2,2,2,0,63,0,0,0,0,"Dharmveer Bharti,na","1949,na","story_na,wiki_books"
उपन्यास,7,3,4,3,1,235,1,3,6,4,"Sudhakar Adeeb,Naresh Nadeem,Mamta Kalia,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Premchand,Tufail Chaturvedi,Kavita,Kashinath Singh,Jayshree Roy,Ravindra Kalia,Sharatchandra Chattopadhyay,na","2000,2012,2009,1983,1949,1929,1932,unk,2008,1917,1952,na","story_na,wiki_art,wiki_books,wiki_cinema,wiki_religion,wiki_science,web_news"
ऐंठ,3,1,1,2,0,16,5,62,43,20,"Naresh Nadeem,Mamta Kalia,Bhairav Prasad Gupt,Premchand,Vibhooti Narayan Roy,A. Asafal,Kavita,Sharatchandra Chattopadhyay,na","2012,2009,1952,1936,1998,unk,1917,2010,na","story_na,web_news"
